the_geom,waterway_access,latitude,longitude,boat_ramp_name,asset_owner,contact_number,street,suburb,waterway_name,state,postcode,id,ramp_condition,ramp_material,has_bbq,has_fee_payable,has_kiosk,has_lighting,has_toilets,has_bins,has_pontoon_nearby,has_pontoon_ramp,number_ramp_lanes
0101000020E610000000E36DE7C153624037CF96FAB0FD41C0,All Times,-35.9819634662985,146.617419924376,"Memorial Park, Howlong",Corowa Shire Council,02 6033 8999,Victoria Street,Howlong,Murray River,NSW,2643,1,GOOD,Concrete,true,false,false,true,true,false,false,false,2
0101000020E61000006535089DB5E46240A90BDDF79DBA40C0,All Times,-33.4579458073925,151.147169605286,Spencer,Gosford City Council,02 4325 8222,Wisemans Ferry Road,Spencer,Mangrove Creek,NSW,2775,2,FAIR,Concrete,false,false,true,false,true,true,true,false,1
0101000020E61000007C7DA25219E56240D05E5A65C3F640C0,Shallow At Times,-33.9278380099546,151.159341161121,Tempe Basin,Marrickville Council,02 9335 2222,Holbeach Avenue,Tempe,Cooks River,NSW,2044,3,POOR,Concrete,false,false,false,false,false,false,true,false,1
0101000020E6100000545503F8A6DA624003D60980C0CC40C0,All Times,-33.5996246383693,150.832881933699,Governor Phillip Reserve Boat Ramp,Hawkesbury City Council,02 4560 4444,George Street,Windsor,Hawkesbury River,NSW,2756,4,GOOD,Concrete,true,false,false,false,true,true,true,true,4
0101000020E610000048866CDC1DDA62401B9FB573D86241C0,All Times,-34.7722305905174,150.81614514538,Gerroa Beach,The Council Of The Municipality Of Kiama,02 4232 0444,Bourke Street,Gerroa,Crooked River,NSW,2534,5,POOR,Sand,false,false,true,false,true,false,false,false,Informal
0101000020E610000024F69D0299E362404950D517A60041C0,All Times,-34.0050687591143,151.112428005713,Tom Uglys Bridge Boat Ramp,Sutherland Shire Council,02 9710 0333,Princes Highway,Sylvania,Georges River,NSW,2224,6,GOOD,Concrete,false,false,false,true,true,true,true,false,2
0101000020E61000002FADC58A1AE86240457BAF6C1FE440C0,Monday - Sunday: 7:00-20:30,-33.7822090012401,151.253239999854,Manly Dam - Section 1(Part of Manly Warringah War Memorial Park) - Non motorised boats only unless authorised by Waterskiing Association,Warringah Council,02 9942 2111,King Street,Manly Vale,Manly Dam,NSW,2093,7,GOOD,Concrete,true,true,false,false,true,true,false,false,1
0101000020E6100000399E35F7EDEA6240FA28685E8FB740C0,All Times,-33.4340627678484,151.341548542712,Masons Parade - Gosford Main Boat Ramp,Gosford City Council,02 4325 8222,Masons Parade,Gosford,The Broad Water (Brisbane Water),NSW,2250,8,GOOD,Concrete,true,false,false,true,true,false,true,true,3
0101000020E6100000180B68D5B7B76240223291C2023F42C0,Shallow At Times,-36.4922717293705,149.741190627298,Brogo Dam Boat Ramp,TBD,TBD,Brogo Dam Road,Brogo,Brogo Dam / Brogo River,NSW,2550,9,POOR,Concrete,true,false,false,false,true,true,false,false,1
0101000020E6100000811C5EDDDE6F624077165FDBEC683FC0,Shallow At Times,-31.4098641497753,147.495955165683,Warren (Macquarie River) Ramp,Warren Shire Council,02 6847 6600,Industrial Accessroad,Warren,Macquarie River,NSW,2824,10,GOOD,Concrete,false,false,false,false,false,false,false,false,1
